Município;IDH-M;IDH-R;IDH-L;IDH-E
Lucélia;0,752;0,728;0,841;0,695
Turiúba;0,751;0,713;0,824;0,721
Tapiratiba;0,751;0,703;0,87;0,692
Indiaporã;0,751;0,714;0,835;0,71
Porto Ferreira;0,751;0,736;0,827;0,696
Mirandópolis;0,751;0,732;0,869;0,665
Catiguá;0,751;0,734;0,852;0,676
Sales;0,751;0,708;0,859;0,697
Ubatuba;0,751;0,741;0,841;0,679
Américo Brasiliense;0,751;0,709;0,852;0,701
Guarujá;0,751;0,729;0,854;0,679
Nhandeara;0,751;0,729;0,835;0,672
Rancharia;0,751;0,72;0,861;0,683
Bastos;0,751;0,696;0,848;0,718
Presidente Epitácio;0,75;0,714;0,845;0,7
Bariri;0,75;0,736;0,867;0,662
Capivari;0,75;0,744;0,848;0,669
São João do Pau d'Alho;0,75;0,714;0,854;0,692
Paraíso;0,749;0,751;0,837;0,668
Artur Nogueira;0,749;0,745;0,827;0,681
União Paulista;0,749;0,697;0,863;0,699
Terra Roxa;0,749;0,732;0,838;0,684
Campos do Jordão;0,749;0,761;0,852;0,648
Carapicuíba;0,749;0,721;0,842;0,693
Embu-Guaçu;0,749;0,713;0,834;0,708
Ipuã;0,749;0,759;0,848;0,654
Oscar Bressane;0,749;0,713;0,823;0,715
Rio Grande da Serra;0,749;0,684;0,823;0,745
Peruíbe;0,749;0,73;0,854;0,675
Pirajuí;0,749;0,734;0,853;0,672
Taquaritinga;0,748;0,727;0,827;0,696
Tanabi;0,748;0,735;0,829;0,687
São João de Iracema;0,748;0,682;0,833;0,738
Duartina;0,748;0,716;0,837;0,698
Ribeirão do Sul;0,747;0,753;0,818;0,676
Elisiário;0,747;0,711;0,825;0,712
Floreal;0,747;0,71;0,808;0,726
Ibitinga;0,747;0,738;0,846;0,726
Sud Mennucci;0,747;0,743;0,809;0,694
General Salgado;0,747;0,734;0,808;0,702
Potirendaba;0,747;0,737;0,857;0,661
Cândido Mota;0,747;0,701;0,845;0,704
Borá;0,746;0,712;0,863;0,675
Bady Bassitt;0,746;0,737;0,805;0,701
Palmital;0,746;0,727;0,814;0,702
Urânia;0,746;0,727;0,804;0,709
Nuporanga;0,746;0,73;0,866;0,656
Echaporã;0,745;0,719;0,834;0,69
Urupês;0,745;0,741;0,817;0,683
Rafard;0,745;0,722;0,823;0,696
Itanhaém;0,745;0,716;0,823;0,701
Agudos;0,745;0,705;0,845;0,694
Américo de Campos;0,745;0,715;0,817;0,708
Iacanga;0,745;0,721;0,851;0,675
Águas de Lindóia;0,745;0,725;0,846;0,675
Junqueirópolis;0,745;0,727;0,86;0,662
Mendonça;0,744;0,72;0,863;0,663
Vista Alegre do Alto;0,744;0,726;0,84;0,676
Dumont;0,744;0,72;0,849;0,674
Arealva;0,744;0,718;0,84;0,683
Itápolis;0,744;0,738;0,836;0,667
Torrinha;0,744;0,734;0,852;0,658
Bento de Abreu;0,744;0,706;0,82;0,712
Leme;0,744;0,729;0,851;0,665
São Manuel;0,744;0,735;0,805;0,695
Mira Estrela;0,743;0,697;0,806;0,731
Promissão;0,743;0,724;0,85;0,666
Guatapará;0,743;0,724;0,822;0,688
Santa Cruz da Esperança;0,743;0,719;0,832;0,686
Nova Luzitânia;0,743;0,705;0,808;0,719
Macaubal;0,743;0,72;0,844;0,676
Mairinque;0,743;0,721;0,831;0,684
Lindóia;0,742;0,722;0,864;0,654
Bocaina;0,742;0,741;0,84;0,656
Cafelândia;0,742;0,714;0,867;0,661
Itapecerica da Serra;0,742;0,699;0,852;0,687
Pedranópolis;0,742;0,698;0,854;0,684
Dolcinópolis;0,742;0,699;0,825;0,709
Lourdes;0,742;0,697;0,816;0,717
Monte Castelo;0,741;0,706;0,814;0,709
Jumirim;0,741;0,721;0,863;0,655
Miguelópolis;0,741;0,712;0,863;0,661
João Ramalho;0,741;0,701;0,818;0,71
Anhumas;0,741;0,683;0,845;0,706
Teodoro Sampaio;0,741;0,699;0,856;0,679
Dirce Reis;0,741;0,686;0,842;0,704
Alfredo Marcondes;0,741;0,682;0,84;0,71
Motuca;0,741;0,685;0,859;0,691
Estiva Gerbi;0,74;0,716;0,815;0,695
Brotas;0,74;0,724;0,815;0,688
Santópolis do Aguapeí;0,74;0,68;0,83;0,719
Macedônia;0,74;0,705;0,852;0,675
Ibirá;0,74;0,741;0,841;0,65
Rifaina;0,74;0,713;0,824;0,69
Estrela do Norte;0,74;0,693;0,818;0,714
Aramina;0,74;0,723;0,856;0,656
Pederneiras;0,739;0,738;0,812;0,673
Guaiçara;0,739;0,697;0,853;0,679
Santa Mercedes;0,739;0,683;0,847;0,699
Piracaia;0,739;0,758;0,851;0,625
Manduri;0,739;0,73;0,818;0,675
Nova Granada;0,739;0,727;0,818;0,68
Viradouro;0,739;0,717;0,823;0,683
Quatá;0,738;0,706;0,814;0,7
Nova Aliança;0,738;0,71;0,826;0,684
Santa Isabel;0,738;0,7;0,834;0,689
Dourado;0,738;0,718;0,811;0,689
Cabreúva;0,738;0,717;0,828;0,678
Ferraz de Vasconcelos;0,738;0,691;0,828;0,703
Onda Verde;0,738;0,693;0,863;0,671
Santa Ernestina;0,738;0,716;0,802;0,699
Mirassolândia;0,738;0,704;0,829;0,69
Vargem Grande do Sul;0,737;0,721;0,863;0,643
Pindorama;0,737;0,726;0,842;0,654
Santa Gertrudes;0,737;0,723;0,847;0,654
Roseira;0,737;0,691;0,823;0,704
Cubatão;0,737;0,716;0,821;0,681
Santa Lúcia;0,737;0,696;0,818;0,703
Parapuã;0,737;0,693;0,83;0,696
Guaraci;0,737;0,698;0,84;0,682
Braúna;0,737;0,725;0,83;0,664
Pariquera-Açu;0,736;0,682;0,862;0,678
Iepê;0,736;0,7;0,814;0,7
Conchas;0,736;0,725;0,837;0,658
Charqueada;0,736;0,72;0,82;0,675
Turmalina;0,736;0,724;0,817;0,675
Pereiras;0,736;0,717;0,873;0,637
Itapevi;0,735;0,687;0,855;0,677
Santa Branca;0,735;0,706;0,828;0,678
Glicério;0,735;0,735;0,858;0,63
Embu das Artes;0,735;0,7;0,839;0,676
Aspásia;0,735;0,699;0,864;0,657
Nova Independência;0,735;0,675;0,827;0,711
Tabapuã;0,735;0,726;0,82;0,666
Jardinópolis;0,735;0,728;0,853;0,64
Buritizal;0,735;0,743;0,83;0,643
Presidente Alves;0,735;0,711;0,811;0,689
Valentim Gentil;0,735;0,708;0,81;0,692
Cássia dos Coqueiros;0,734;0,68;0,864;0,673
Cristais Paulista;0,734;0,682;0,802;0,682
Divinolândia;0,734;0,72;0,85;0,645
Cajobi;0,734;0,714;0,822;0,674
Rincão;0,734;0,701;0,826;0,682
Bernardino de Campos;0,734;0,713;0,838;0,662
Lucianópolis;0,733;0,736;0,809;0,662
Jarinu;0,733;0,723;0,826;0,659
Ariranha;0,733;0,73;0,813;0,663
Santa Clara d'Oeste;0,733;0,712;0,804;0,687
Monte Mor;0,733;0,713;0,863;0,639
Bananal;0,733;0,693;0,872;0,653
Pradópolis;0,733;0,738;0,822;0,65
Iacri;0,733;0,701;0,822;0,655
Itapeva;0,732;0,702;0,803;0,697
Paranapuã;0,732;0,712;0,842;0,655
Fartura;0,732;0,699;0,867;0,648
Palestina;0,732;0,717;0,848;0,645
Santo Expedito;0,732;0,664;0,828;0,714
Salesópolis;0,732;0,687;0,829;0,69
Quintana;0,732;0,689;0,811;0,703
Guarani d'Oeste;0,732;0,682;0,806;0,714
Piacatu;0,732;0,681;0,843;0,684
Pontes Gestal;0,732;0,705;0,805;0,69
Engenheiro Coelho;0,732;0,72;0,815;0,668
Tambaú;0,731;0,729;0,858;0,624
Castilho;0,731;0,688;0,827;0,686
Marinópolis;0,731;0,681;0,825;0,694
Guararema;0,731;0,729;0,817;0,656
Meridiano;0,731;0,717;0,817;0,667
Luís Antônio;0,731;0,709;0,822;0,671
Franco da Rocha;0,731;0,702;0,852;0,654
Altinópolis;0,73;0,726;0,843;0,635
Casa Branca;0,73;0,727;0,835;0,64
Mineiros do Tietê;0,73;0,719;0,823;0,658
Sagres;0,73;0,692;0,83;0,677
Embaúba;0,73;0,723;0,84;0,641
Óleo;0,73;0,713;0,858;0,637
Borborema;0,73;0,71;0,831;0,658
Bertioga;0,73;0,727;0,817;0,654
Patrocínio Paulista;0,73;0,696;0,826;0,678
Adolfo;0,73;0,71;0,844;0,648
Itajobi;0,73;0,727;0,832;0,644
Ipiguá;0,73;0,696;0,839;0,666
Lavrinhas;0,729;0,665;0,823;0,707
Cerqueira César;0,729;0,71;0,821;0,666
Serrana;0,729;0,713;0,835;0,65
Salto de Pirapora;0,729;0,699;0,834;0,665
Laranjal Paulista;0,729;0,732;0,829;0,639
Socorro;0,729;0,737;0,828;0,634
Caiabu;0,729;0,682;0,823;0,691
Zacarias;0,729;0,695;0,826;0,674
Chavantes;0,729;0,713;0,828;0,655
Álvares Florence;0,728;0,701;0,806;0,683
Cajamar;0,728;0,713;0,81;0,668
São Lourenço da Serra;0,728;0,704;0,823;0,666
Reginópolis;0,728;0,715;0,817;0,66
Santa Albertina;0,728;0,716;0,809;0,665
Tuiuti;0,728;0,702;0,871;0,63
Guaimbê;0,728;0,675;0,83;0,689
Sabino;0,728;0,708;0,813;0,671
Santa Cruz das Palmeiras;0,728;0,746;0,815;0,635
Ubirajara;0,727;0,689;0,829;0,674
Pirapora do Bom Jesus;0,727;0,679;0,81;0,698
Herculândia;0,727;0,68;0,809;0,698
Flora Rica;0,727;0,668;0,796;0,723
Emilianópolis;0,727;0,69;0,805;0,691
Igaraçu do Tietê;0,727;0,691;0,838;0,664
Ipaussu;0,727;0,713;0,828;0,65
Pardinho;0,727;0,718;0,821;0,652
Nova Guataporanga;0,726;0,707;0,842;0,644
Tarabai;0,726;0,666;0,823;0,697
Murutinga do Sul;0,726;0,703;0,847;0,643
Iguape;0,726;0,691;0,847;0,653
Clementina;0,725;0,704;0,821;0,66
Barrinha;0,725;0,711;0,829;0,646
Paulo de Faria;0,725;0,721;0,8;0,662
