Município;Agropecuária;Indústria;Administração Pública;Serviços Públicos;Impostos;PIB;PIB per capta
Presidente Prudente;30949,92288;1086836,251;802934,2593;5123384,873;762707,4526;7806812,759;35928,08118
Presidente Venceslau;31991,35001;45466,83294;139142,0432;464743,9067;40549,3121;721893,445;18998,69582
Promissão;80153,62525;854666,9325;159845,5165;574845,535;156639,2903;1826150,9;47455,9107
Quadra;36029,36921;4550,139186;20916,05191;23891,74524;3512,75042;88900,05597;24895,00307
Quatá;78856,64198;107147,8333;55295,68614;180119,1053;36525,75557;457945,0222;33674,9042
Queiroz;115928,8699;139229,4075;19664,04174;68838,21356;25196,44113;368856,9739;117620,2085
Queluz;3189,64191;49465,04206;51784,61021;189917,2905;30758,79758;325115,3822;26464,41858
Quintana;27087,55154;46080,65746;25063,30784;47793,59017;11222,28894;157247,396;24743,88607
Rafard;22493,2857;132839,9822;37114,01361;96910,4695;36685,29653;326043,0475;36832,69855
Rancharia;313294,3317;367254,3046;113157,9341;441655,3925;88350,13629;1323712,099;45933,51722
Redenção da Serra;9716,730891;4245,242543;19002,21239;22123,4175;1943,894363;57031,49769;14840,35849
Regente Feijó;60913,7458;99424,07112;80225,46791;336947,5859;78410,61541;655921,4862;34157,24034
Reginópolis;58874,15691;5892,388488;34753,46942;43563,79353;4060,030381;147143,8387;20320,92787
Registro;128798,5596;145063,3823;208542,7919;1251409,334;217113,7153;1950927,783;36067,51184
Restinga;37959,53778;41843,13656;33543,43935;42056,89464;11140,18449;166543,1928;23073,31571
Ribeira;10320,57542;2851,389361;15766,86275;14680,11987;3684,790267;47303,73766;14492,56668
Ribeirão Bonito;69073,59776;23415,03189;50020,41831;120146,8854;10492,10738;273148,0407;21495,87162
Ribeirão Branco;205710,7561;17987,03399;62869,35956;86582,46687;7168,568174;380318,1847;21459,01849
Ribeirão Corrente;25412,70741;7112,133424;22347,43194;29696,16767;2282,489968;86850,9304;19096,51064
Ribeirão do Sul;35129,45086;10949,08016;19371,85859;64507,04705;11986,33605;141943,7727;32422,05864
Ribeirão dos Índios;12120,27963;1976,455463;13635,88492;9205,77461;784,2120686;37722,60668;17520,95062
Ribeirão Grande;15971,44555;169641,2561;33204,20165;59054,05137;18353,07264;296224,0273;39586,26585
Ribeirão Pires;1259,878747;659195,7204;438454,2768;1597446,414;350108,7069;3046464,997;25950,55153
Ribeirão Preto;119098,0429;5305064,63;2781989,576;23253567,1;3856123,831;35315843,18;53347,43689
Rifaina;27746,38871;14165,57771;21611,37649;42517,61531;5725,18839;111766,1466;32321,03719
Rincão;60499,56622;28563,98007;42880,17984;73207,69141;8614,260507;213765,678;20424,77337
