City;Population;Area KM2;Farming;Industry;Public administration;Public services;Taxes;GDP;GDP per capita;HDI-M;HDI-R;HDI-L;HDI-E;FMDI;Latitude;Longitude
Santa Cruz das Palmeiras;32987;295.34;56523.97;20831.83;113207.13;276766.26;34580.77;501909.96;15385.63;0.73;0.75;0.82;0.64;0.76;-21.823.475;-47.248.023
Santa Cruz do Rio Pardo;45671;1114.75;124684.68;597427.43;182709.25;910487.26;227100.0;2042408.62;44935.51;0.76;0.74;0.87;0.69;0.82;-229.060.715;-496.277.378
Santa Ernestina;5532;134.42;21041.83;5541.21;23605.49;38739.69;3139.36;92067.58;16636.71;0.74;0.72;0.8;0.7;0.72;-214.634.463;-483.912.139
Santa Fé do Sul;30503;206.54;35066.34;183594.21;152583.47;561121.71;81363.69;1013729.4;33398.0;0.78;0.76;0.84;0.75;0.85;-202.106.188;-509.270.837
Santa Gertrudes;25266;98.29;15264.8;883063.5;121367.81;350630.3;201594.76;1571921.17;63337.95;0.74;0.72;0.85;0.65;0.84;-224.590.897;-47.532.034
Santa Isabel;54191;363.33;49599.15;274536.66;208554.52;659455.46;161486.42;1353632.21;25184.79;0.74;0.7;0.83;0.69;0.8;-2.329.474;-462.353.900.454.545
Santa Lúcia;8503;154.03;42792.41;7133.2;32094.13;41727.54;3614.06;127361.34;15029.66;0.74;0.7;0.82;0.7;0.78;-21.664;-480.472.626.753.445
Santa Maria da Serra;5992;252.62;37306.77;19796.77;23315.99;40626.52;5565.73;126611.77;21394.35;0.69;0.69;0.82;0.57;0.78;-225.691.072;-48.157.095
Santa Mercedes;2814;166.75;21089.99;3412.31;15452.35;16313.33;20907.1;77175.08;27415.66;0.74;0.68;0.85;0.7;0.7;-213.513.208;-517.536.843
Santa Rita d'Oeste;2432;209.8;18327.99;2660.92;15816.18;18150.48;1649.72;56605.29;23141.98;0.76;0.71;0.84;0.74;0.77;-201.448.079;-508.317.569
Santa Rita do Passa Quatro;26408;754.14;65443.01;68377.83;102621.86;343207.31;61528.98;641179.0;24269.62;0.78;0.76;0.89;0.69;0.71;-217.103.738;-474.777.943
Santa Rosa de Viterbo;25264;288.58;35860.89;253292.02;98462.21;281574.01;99601.6;768790.73;30633.99;0.77;0.75;0.87;0.7;0.67;-214.869.452;-473.654.908
Santa Salete;1443;79.19;11745.39;1684.78;10796.24;8567.0;859.6;33653.01;23305.41;0.77;0.71;0.86;0.75;0.79;-202.451.795;-506.889.625
Santana da Ponte Pensa;1532;129.89;11858.82;1818.32;11159.12;8932.29;785.86;34554.4;22394.3;0.77;0.75;0.84;0.73;0.73;-202.543.758;-507.975.649
Santana de Parnaíba;132317;179.95;77829.01;1485227.24;713607.44;4917537.12;1389422.26;8583623.07;66281.78;0.81;0.88;0.85;0.72;0.88;-234.446.715;-469.167.722
Santo Anastácio;20179;552.88;34814.23;57486.64;76167.7;224815.57;29041.54;422325.7;20902.04;0.75;0.72;0.85;0.69;0.64;-21.974.662;-51.652.662
Santo André;690551;175.78;843.52;5196161.76;2469773.28;16248943.03;3554958.82;27470680.4;39876.21;0.82;0.82;0.86;0.77;0.87;-236.573.395;-465.322.504
Santo Antônio da Alegria;6572;310.34;53047.98;9227.05;28102.16;47935.31;6995.82;145308.33;22215.0;0.7;0.69;0.83;0.6;0.75;-210.893.048;-471.523.426
Santo Antônio de Posse;22424;154.13;143513.93;146242.9;97332.58;513542.07;143273.63;1043905.11;46993.12;0.7;0.72;0.84;0.58;0.81;-226.054.087;-469.210.727
Santo Antônio do Aracanguá;8135;1308.43;78490.01;22784.37;47177.28;59372.83;7032.82;214857.3;26601.13;0.76;0.71;0.84;0.73;0.82;-209.354.866;-504.953.504
Santo Antônio do Jardim;5842;109.96;30115.6;12519.33;24654.9;59397.66;10472.22;137159.7;23446.1;0.71;0.7;0.84;0.62;0.82;-221.158.536;-466.839.541
Santo Antônio do Pinhal;6596;133.01;7143.84;6472.83;29449.26;55791.95;4819.36;103677.24;15756.42;0.71;0.68;0.81;0.63;0.71;-228.250.504;-456.674.063
Santo Expedito;2939;94.46;5173.36;2891.16;14658.24;14249.57;1127.97;38100.29;13034.65;0.73;0.66;0.83;0.71;0.67;-218.508.736;-513.925.315
Santos;426646;281.03;3712.81;1660997.34;2265702.87;15410578.0;3191680.79;22532671.8;52940.7;0.84;0.86;0.85;0.81;0.88;-23.960.833;-46.333.889
Santópolis do Aguapeí;4593;128.03;12625.96;3449.3;18453.57;24349.35;1938.6;60816.78;13351.65;0.74;0.68;0.83;0.72;0.78;-216.376.115;-504.996.725
Sarapuí;9890;352.59;27523.43;24520.98;39881.93;50926.59;7421.71;150274.64;15362.36;0.71;0.7;0.81;0.62;0.73;-2.363.974;-47.824.863
Sarutaiá;3639;141.61;22755.63;3476.53;17198.67;20612.54;736.79;64780.16;17816.32;0.69;0.68;0.79;0.6;0.65;-232.747.217;-49.477.186
Sebastianópolis do Sul;3250;167.85;42636.54;152447.6;20163.28;72716.42;23537.07;311500.91;96469.78;0.77;0.75;0.84;0.74;0.74;-206.581.669;-499.229.043
Serra Azul;12070;283.14;46923.6;13191.13;49529.46;51092.63;4368.9;165105.73;13797.9;0.69;0.7;0.81;0.57;0.7;-213.066.438;-475.670.235.428.571
Serra Negra;27255;203.74;43323.29;75844.59;112502.7;437158.35;52031.76;720860.68;26537.35;0.77;0.76;0.87;0.68;0.81;-2.261.222;-4.670.056
Serrana;43352;126.05;21468.53;126523.88;180680.61;520974.63;91466.9;941114.55;21978.39;0.73;0.71;0.84;0.65;0.75;-212.066.883;-476.053.774
