Município;IFDM
Urupês;0,7548
Pinhalzinho;0,7542
Bernardino de Campos;0,7542
Cachoeira Paulista;0,7541
Américo de Campos;0,7538
Serrana;0,7537
Severínia;0,7537
Ribeirão Corrente;0,7536
Piracaia;0,7531
Urânia;0,7529
Morungaba;0,7523
Cosmópolis;0,7512
Lorena;0,7507
Ocauçu;0,7501
Mongaguá;0,75
Guareí;0,7494
Avaí;0,7492
Salto de Pirapora;0,7491
Altair;0,7491
Nova Castilho;0,7483
Pauliceia;0,7479
Monte Alegre do Sul;0,7478
Tupi Paulista;0,7476
Alto Alegre;0,7474
Nova Granada;0,7472
Catiguá;0,7472
Ilha Solteira;0,7471
Itaí;0,7471
Monte Mor;0,747
São Pedro do Turvo;0,7467
Tarabai;0,7467
Pitangueiras;0,7466
Cesário Lange;0,7463
Pindorama;0,7463
Mira Estrela;0,7462
Motuca;0,7461
Presidente Venceslau;0,7461
Divinolândia;0,746
Araçoiaba da Serra;0,7457
Uchoa;0,7457
Santo Antônio da Alegria;0,7455
Quintana;0,7455
Charqueada;0,7451
Guatapará;0,745
Buritama;0,7438
Monte Castelo;0,7434
Canitar;0,7433
Araçariguama;0,7433
Neves Paulista;0,743
Sales Oliveira;0,743
Tabapuã;0,743
Boa Esperança do Sul;0,7424
Indiaporã;0,7422
Uru;0,7419
São Pedro;0,7414
Santa Adélia;0,7414
Sabino;0,7408
Arandu;0,7405
Jaborandi;0,7405
Estrela do Norte;0,7403
Alvinlândia;0,7402
Analândia;0,7396
Taquarivaí;0,739
Barrinha;0,7386
Lupércio;0,7385
Pedra Bela;0,7383
Rubiácea;0,7382
Conchas;0,7377
Tambaú;0,737
Presidente Alves;0,7369
Martinópolis;0,7366
Torrinha;0,7364
Sebastianópolis do Sul;0,7358
Engenheiro Coelho;0,7356
Dois Córregos;0,7355
Anhumas;0,7352
Viradouro;0,7351
Itapecerica da Serra;0,7351
Apiaí;0,735
Oscar Bressane;0,7347
Alumínio;0,7347
Itapura;0,7346
Avanhandava;0,7342
Vargem;0,7341
Ibirá;0,734
Bento de Abreu;0,7334
Vera Cruz;0,7332
Ipuã;0,7332
Rifaina;0,7332
Ribeirão Bonito;0,7324
Panorama;0,7322
Cajobi;0,7321
Cruzália;0,7319
Itaju;0,7318
Ribeirão Grande;0,7317
Lavínia;0,7317
Guaraçaí;0,7316
Sarapuí;0,7314
Rio Grande da Serra;0,7313
Santana da Ponte Pensa;0,7311
Timburi;0,7297
Mombuca;0,7292
Guarantã;0,7287
Capela do Alto;0,7287
Indiana;0,7283
Barbosa;0,7281
São Simão;0,7276
Manduri;0,727
Bofete;0,7266
São João do Pau-d'Alho;0,7265
Piraju;0,726
Águas de Santa Bárbara;0,726
Paulistânia;0,7257
Vitória Brasil;0,7245
Santa Ernestina;0,7245
Florínea;0,7243
Platina;0,7241
Bom Sucesso de Itararé;0,7237
Porangaba;0,7234
Areiópolis;0,7228
Cajati;0,7224
Taciba;0,7224
Caiabu;0,7218
Terra Roxa;0,7216
Arco-Íris;0,7209
Parapuã;0,7207
Turiúba;0,7202
Restinga;0,7201
Ribeira;0,7197
Macedônia;0,719
Valparaíso;0,7188
Taiaçu;0,7184
Três Fronteiras;0,7178
São Francisco;0,7173
Aguaí;0,7168
Gália;0,7165
Mirandópolis;0,7163
Populina;0,7159
Tuiuti;0,7153
Campina do Monte Alegre;0,7142
Paranapuã;0,714
Santo Antônio do Pinhal;0,7137
Pariquera-Açu;0,7135
Barra do Chapéu;0,7129
Itaoca;0,7129
Santa Cruz da Esperança;0,7125
Paraibuna;0,7115
Ipaussu;0,7107
Taiuva;0,7096
Cajuru;0,7095
Flórida Paulista;0,7094
Riolândia;0,7092
Iepê;0,709
Cardoso;0,7088
Floreal;0,7082
Itapirapuã Paulista;0,7081
Luiziânia;0,7077
Flora Rica;0,7074
Eldorado;0,7073
Rincão;0,7073
Aramina;0,7071
Itirapuã;0,7066
Rosana;0,7062
Redenção da Serra;0,706
Presidente Epitácio;0,7056
Quadra;0,7054
Santa Rita do Passa Quatro;0,7051
Lutécia;0,7032
Tapiraí;0,7029
Aparecida d'Oeste;0,7029
Alambari;0,7028
Dobrada;0,7027
Irapuru;0,7023
Serra Azul;0,7021
General Salgado;0,7013
Piratininga;0,7012
Pirangi;0,7007
Piquerobi;0,7006
Coroados;0,7001
Santa Mercedes;0,7001
Iacri;0,7
Coronel Macedo;0,6998
Itariri;0,6996
Canas;0,6992
Presidente Bernardes;0,699
Cafelândia;0,6989
Itobi;0,6988
Jeriquara;0,6985
Álvares Machado;0,6983
Maracaí;0,6972
Barão de Antonina;0,6967
Guaimbê;0,6962
Castilho;0,6961
Nova Canaã Paulista;0,696
Cunha;0,695
Sagres;0,6949
Poloni;0,6943
Duartina;0,6942
Salesópolis;0,6939
Magda;0,6934
Ferraz de Vasconcelos;0,6933
Oriente;0,6933
Itaporanga;0,6933
Piedade;0,693
Novais;0,6923
Barra do Turvo;0,6922
Nhandeara;0,6921
Iporanga;0,6914
Francisco Morato;0,691
Ribeirão Branco;0,6902
Caconde;0,6902
Tejupá;0,6897
Piquete;0,6893
Águas da Prata;0,6881
Palmeira d'Oeste;0,6875
Pedranópolis;0,6867
Miguelópolis;0,6848
Herculândia;0,6847
Dirce Reis;0,6846
Marinópolis;0,6844
Guarani d'Oeste;0,6843
Guapiara;0,6839
São José da Bela Vista;0,6823
Itaberá;0,6811
Ibiúna;0,681
Guzolândia;0,6806
Silveiras;0,6805
Lourdes;0,6799
João Ramalho;0,6798
Cerqueira César;0,6779
Itaquaquecetuba;0,677
Estiva Gerbi;0,6769
Sales;0,6766
Pedregulho;0,6765
Pontalinda;0,6759
Guará;0,6757
Salto Grande;0,675
Iguape;0,6747
Cananéia;0,6743
Iaras;0,673
Santo Expedito;0,6723
Pedro de Toledo;0,6718
São Luís do Paraitinga;0,6705
Euclides da Cunha Paulista;0,6697
Juquiá;0,6696
São Bento do Sapucaí;0,6694
Santa Rosa de Viterbo;0,6691
Riversul;0,669
Potim;0,6683
Miracatu;0,6681
Braúna;0,6678
